1	241			
BJ	164	BJv2	251	Update v2
BK	165	BKv2	252	Update v2
BM	166	BMv2	249	Update v2
Bus Wanita	240			
C (Pasar Loak)	167	Cv2 (Pasar Loak)	340	Update v2
C (Sedayu)	207	Cv2 (Sedayu)	250	Update v2
D	168	Dv2	253	Update v2
DA	169	DAv2	256	Update v2
DKB	170	DKBv2	255	Update v2
DKM	171	DKMv2	254	Update v2
DP	172	DPv2	257	Update v2
E (Balongsari)	208	Ev2 (Balongsari)	258	Update v2
E (Sawahan)	209			
E (Simo Rukun)	210			
E1	232			
F	173	Fv2	259	Update v2
G (Dharma Husada)	213			
G (Lakarsantri)	212	Gv2 (Lakasantri)	260	Update v2
G (Sepanjang)	211	Gv2 (Sepanjang)	261	Update v2
GL	174	GLv2	262	Update v2
GS	175	GSv2	263	Update v2
		H1v2	266	Baru v2
H2	176	H2v2	265	Update v2
H2P	177	H2Pv2	264	Update v2
		H4v2	267	Baru v2
I	178	Iv2	268	Update v2
IM	179			
IM(B-DST)	344			
		IMv2 (A-SCTV)	341	Baru v2
J	180	Jv2	269	Update v2
JBMN	181	JBMNv2	342	Update v2
JK	182	JKv2	270	Update v2
JMK	183	JMKv2	273	Update v2
JTK	162	JTKv2	271	Update v2
JTK2	163	JTK2v2	345	Update v2
K	184	Kv2	272	Update v2
KIP1	185	KIP1v2	275	Update v2
KIP2	186	KIP2v2	276	Update v2
L2	187	L2v2	346	Update v2
LK	188	LKv2	347	Update v2
LMJ	189	LMJv2	277	Update v2
M	190	Mv2	278	Update v2
N	191	Nv2	279	Update v2
O	192	Ov2	280	Update v2
P (Gebang Putih)	216	Pv2 (Gebang Putih)	281	Update v2
P (Karang Menjangan)	215	Pv2 (Karang Menjangan)	282	Update v2
P (Ketintang)	214	Pv2 (Ketintang)	283	Update v2
P Ac 1	239			
P Ac 8	238			
P1	233			
P2	234			
P3	235			
P4	236			
P5	237			
Q	193	Qv2	284	Update v2
R	196	Rv2	288	Update v2
R1	195	R1v2	287	Update v2
		R1v2 (Tanjungsari)	310	Baru v2
R2	194	R2v2	343	Update v2
RBK	197	RBKv2	285	Update v2
RDK	198	RDKv2	286	Update v2
RT (Rungkut Harapan)	243	RTv2 (Rungkut Harapan)	289	Update v2
RT (Rungkut Madya)	244	RTv2 (Rungkut Madya)	290	Update v2
S	217	Sv2	291	Update v2
T1 (Simorejo)	218	T1v2 (Simorejo)	292	Update v2
T2 (Kenjeran)	219	T2v2 (Kenjeran)	293	Update v2
T2 (Wisma Permai)	220			
TV (Balongsari)	223	TVv2 (Balongsari)	295	Update v2
TV (Dukuh Kupang)	222			
TV (Manukan)	221	TVv2 (Manukan)	294	Update v2
TWM	199			
U (Rungkut)	225	Uv2 (Rungkut)	297	Update v2
		Uv2(Gunung Anyar)	296	ID=296 kosong
		Uv2 (Gunung Anyar)	224	Baru v2
UBB	200	UBBv2	298	Update v2
UBK	201			
		USPv2	299	Baru v2
V	202	Vv2	300	Update v2
W (Karang Menjangan)	227	Wv2 (Karang Menjangan)	302	Update v2
W (Kenjeran)	226			
W(Karang Menjangan)	301			ID=301 kosong
WB	203	WBv2	304	Update v2
WK	204			
WL (Dukuh Kupang)	229			
WL(Wonoarum)	228			
		WLv2 (wonosari)	303	Baru v2
		Xv2	305	Baru v2
Y	205	Yv2	306	Update v2
Z	206	Zv2	307	Update v2
Z1 (Margomulyo)	230	Z1v2 (Margomulyo)	308	Update v2
Z1 (Tanjung Sari)	231	Z1v2 (Tanjungsari)	311	Update v2
